*************************
Information of currently running processess...
*************************
{'username': 'rushikeshgade', 'name': 'SiriNCService', 'pid': 2074, 'vms': 416971.828125}
{'username': 'rushikeshgade', 'name': 'adprivacyd', 'pid': 2079, 'vms': 416956.90625}
{'username': 'rushikeshgade', 'name': 'mapssyncd', 'pid': 2080, 'vms': 416958.28125}
{'username': 'rushikeshgade', 'name': 'weatherd', 'pid': 2082, 'vms': 416954.09375}
{'username': 'rushikeshgade', 'name': 'Google Chrome', 'pid': 2084, 'vms': 467101.609375}
{'username': 'rushikeshgade', 'name': 'chrome_crashpad_handler', 'pid': 2088, 'vms': 433293.734375}
{'username': 'rushikeshgade', 'name': 'Google Chrome Helper (GPU)', 'pid': 2092, 'vms': 434097.046875}
{'username': 'rushikeshgade', 'name': 'Google Chrome Helper', 'pid': 2093, 'vms': 433942.046875}
{'username': 'rushikeshgade', 'name': 'Google Chrome Helper', 'pid': 2094, 'vms': 433761.859375}
{'username': 'rushikeshgade', 'name': 'SafariLaunchAgent', 'pid': 2100, 'vms': 416952.59375}
{'username': 'rushikeshgade', 'name': 'mdworker', 'pid': 2112, 'vms': 416920.390625}
{'username': 'rushikeshgade', 'name': 'swcd', 'pid': 2117, 'vms': 416920.28125}
{'username': 'rushikeshgade', 'name': 'AppleSpell', 'pid': 2131, 'vms': 417529.15625}
{'username': 'rushikeshgade', 'name': 'keyboardservicesd', 'pid': 2132, 'vms': 416948.15625}
{'username': 'rushikeshgade', 'name': 'naturallanguaged', 'pid': 2133, 'vms': 416985.40625}
{'username': 'rushikeshgade', 'name': 'fudHelperAgent', 'pid': 2134, 'vms': 416906.984375}
{'username': 'rushikeshgade', 'name': 'dataaccessd', 'pid': 2156, 'vms': 416955.234375}
{'username': 'rushikeshgade', 'name': 'SafariBookmarksSyncAgent', 'pid': 2157, 'vms': 417114.8125}
{'username': 'rushikeshgade', 'name': 'peopled', 'pid': 2158, 'vms': 416950.90625}
{'username': 'rushikeshgade', 'name': 'proactived', 'pid': 2159, 'vms': 416955.859375}
{'username': 'rushikeshgade', 'name': 'duetexpertd', 'pid': 2160, 'vms': 416982.484375}
{'username': 'rushikeshgade', 'name': 'AppPredictionIntentsHelperService', 'pid': 2162, 'vms': 401553.109375}
{'username': 'rushikeshgade', 'name': 'tipsd', 'pid': 2166, 'vms': 416955.9375}
{'username': 'rushikeshgade', 'name': 'extensionkitservice', 'pid': 2169, 'vms': 416920.609375}
{'username': 'rushikeshgade', 'name': 'TextThumbnailExtension', 'pid': 2170, 'vms': 416976.78125}
{'username': 'rushikeshgade', 'name': 'Google Chrome Helper (Renderer)', 'pid': 2184, 'vms': 1825170.421875}
{'username': 'rushikeshgade', 'name': 'PasswordBreachAgent', 'pid': 2204, 'vms': 416943.765625}
{'username': 'rushikeshgade', 'name': 'feedbackd', 'pid': 2205, 'vms': 416906.90625}
{'username': 'rushikeshgade', 'name': 'IntelligencePlatformComputeService', 'pid': 2206, 'vms': 416947.40625}
{'username': 'rushikeshgade', 'name': 'SetStoreUpdateService', 'pid': 2222, 'vms': 416943.828125}
{'username': 'rushikeshgade', 'name': 'betaenrollmentagent', 'pid': 2227, 'vms': 416953.15625}
{'username': 'rushikeshgade', 'name': 'com.apple.audio.SandboxHelper', 'pid': 2229, 'vms': 400816.203125}
{'username': 'rushikeshgade', 'name': 'homeenergyd', 'pid': 2980, 'vms': 416958.96875}
{'username': 'rushikeshgade', 'name': 'PlugInLibraryService', 'pid': 3243, 'vms': 400550.40625}
