USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_softwareupdate    493   0.0  0.1 426953312  11840   ??  Ss    5:31PM   0:00.25 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
root               393   0.0  0.1 426916256   5488   ??  Ss    5:31PM   0:00.14 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
root               397   0.0  0.0 426912640   1808   ??  Ss    5:31PM   0:00.02 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
root               406   0.0  0.0 426916160   2544   ??  Ss    5:31PM   0:00.08 /usr/libexec/usbd
root               487   0.0  0.0 426916128   2384   ??  Ss    5:31PM   0:00.03 /usr/libexec/colorsyncd
root               486   0.0  0.0 426912592   1744   ??  Ss    5:31PM   0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
root               485   0.0  0.1 426951536   9392   ??  Ss    5:31PM   0:00.34 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
root               481   0.0  0.0 426916192   2544   ??  Ss    5:31PM   0:00.02 /usr/libexec/colorsync.displayservices
_locationd         478   0.0  0.0 426949312   3456   ??  S     5:31PM   0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
root               473   0.0  0.1 426961168  12576   ??  Ss    5:31PM   0:00.11 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
_cmiodalassistants   471   0.0  0.0 426916640   1808   ??  S     5:31PM   0:00.13 /usr/sbin/distnoted agent
_locationd         466   0.0  0.1 426952880   6352   ??  S     5:31PM   0:00.10 /usr/libexec/trustd --agent
root               461   0.0  0.0 410191264   1824   ??  Ss    5:31PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
_locationd         453   0.0  0.0 426916688   1872   ??  S     5:31PM   0:00.04 /usr/sbin/cfprefsd agent
_locationd         434   0.0  0.1 426960976   6880   ??  S     5:31PM   0:00.05 /usr/libexec/secinitd
_locationd         432   0.0  0.0 426916640   1792   ??  S     5:31PM   0:00.13 /usr/sbin/distnoted agent
_locationd         431   0.0  0.1 426953456  11616   ??  S     5:31PM   0:00.25 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root               433   0.0  0.0 426916672   3760   ??  Ss    5:31PM   0:00.11 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
root               430   0.0  0.0 426950832   3280   ??  Ss    5:31PM   0:00.15 /usr/sbin/mDNSResponderHelper
root               428   0.0  0.1 426951424   4208   ??  Ss    5:31PM   0:00.05 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
_biome             426   0.0  0.1 426950224  10048   ??  Ss    5:31PM   0:00.32 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
_windowserver      414   0.0  0.0 426916640   1792   ??  S     5:31PM   0:00.14 /usr/sbin/distnoted agent
root               396   0.0  0.0 426916640   2112   ??  S     5:31PM   0:00.16 /usr/sbin/distnoted agent
root               388   0.0  0.0 426912608   2000   ??  S     5:31PM   0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
_coreaudiod        416   0.0  0.0 426916640   1792   ??  S     5:31PM   0:00.14 /usr/sbin/distnoted agent
_mdnsresponder     424   0.0  0.2 426964496  15680   ??  Ss    5:31PM   0:02.05 /usr/sbin/mDNSResponder
root               423   0.0  0.0 426916320   3216   ??  Ss    5:31PM   0:00.02 /usr/libexec/ApplicationFirewall/socketfilterfw
root               421   0.0  0.1 426956912   9184   ??  Ss    5:31PM   0:00.94 /usr/libexec/storagekitd
_networkd          420   0.0  0.2 426965200  20336   ??  Ss    5:31PM   0:02.52 /usr/libexec/symptomsd
root               413   0.0  0.0 411446192   4176   ??  Ss    5:31PM   0:00.05 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
_nsurlsessiond     398   0.0  0.2 426964240  17760   ??  Ss    5:31PM   0:00.29 /usr/libexec/nsurlsessiond --privileged
root               409   0.0  0.0 410634112   1600   ??  Ss    5:31PM   0:00.02 /usr/libexec/cryptexd
root               408   0.0  0.1 426960960   6896   ??  Ss    5:31PM   0:00.05 /usr/libexec/secinitd
_hidd              402   0.0  0.0 426916128   2256   ??  Ss    5:31PM   0:00.02 /usr/libexec/hidd
root               407   0.0  0.1 426951824  10704   ??  Ss    5:31PM   0:00.15 /usr/libexec/biometrickitd --launchd
root               403   0.0  0.6 426966704  48464   ??  Ss    5:31PM   0:14.83 /usr/libexec/mobileassetd
root               404   0.0  0.1 426951792   8368   ??  Ss    5:31PM   0:00.34 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
root               401   0.0  0.2 426960112  16272   ??  Ss    5:31PM   0:01.03 /usr/libexec/nehelper
root               400   0.0  0.1 426951104  11136   ??  Ss    5:31PM   0:00.27 /usr/libexec/eligibilityd
root               399   0.0  0.0 426916256   3328   ??  Ss    5:31PM   0:00.05 /usr/libexec/apfsd
root               395   0.0  0.1 426950400  10528   ??  Ss    5:31PM   0:00.09 /usr/libexec/PowerUIAgent
_analyticsd        383   0.0  0.2 426962272  17776   ??  Ss    5:31PM   0:06.66 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
_iconservices      333   0.0  0.0 426950464   3216   ??  Ss    5:31PM   0:00.06 /System/Library/CoreServices/iconservicesd
_accessoryupdater   314   0.0  0.1 426952464   9488   ??  Ss    5:31PM   0:00.18 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
_locationd         351   0.0  0.3 426977072  28960   ??  Ss    5:31PM   0:05.53 /usr/libexec/locationd
_softwareupdate    325   0.0  0.1 426952880   5328   ??  Ss    5:31PM   0:00.41 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
root               391   0.0  0.1 426949904   6000   ??  Ss    5:31PM   0:00.18 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
root               390   0.0  0.0 426950464   3280   ??  Ss    5:31PM   0:00.04 /usr/libexec/trustdFileHelper
_coreaudiod        389   0.0  0.5 426979952  42608   ??  Ss    5:31PM   0:06.68 /usr/sbin/coreaudiod
root               387   0.0  0.1 426950304   6176   ??  Ss    5:31PM   0:00.04 /usr/libexec/powerexperienced
_trustd            386   0.0  0.2 426954768  14096   ??  Ss    5:31PM   0:02.50 /usr/libexec/trustd
root               385   0.0  0.0 411085024   3504   ??  Ss    5:31PM   0:00.07 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
root               384   0.0  0.3 426956864  25664   ??  Ss    5:31PM   0:13.72 /usr/libexec/airportd
root               382   0.0  0.2 426959552  16672   ??  Ss    5:31PM   0:00.71 /usr/libexec/lsd runAsRoot
root               380   0.0  0.2 426957872  15136   ??  Ss    5:31PM   0:01.42 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               381   0.0  0.1 426937408   4560   ??  Ss    5:31PM   0:00.21 /System/Library/CoreServices/coreservicesd
root               379   0.0  0.2 426962720  18928   ??  Ss    5:31PM   0:09.64 /usr/libexec/runningboardd
_distnote          357   0.0  0.0 426916640   3216   ??  Ss    5:31PM   0:00.87 /usr/sbin/distnoted daemon
_timed             347   0.0  0.1 426950816   6080   ??  Ss    5:31PM   0:00.11 /usr/libexec/timed
_corespeechd       326   0.0  0.0 410654480   2272   ??  Ss    5:31PM   0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
_usbmuxd           348   0.0  0.1 426960624   4816   ??  Ss    5:31PM   0:00.09 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
rushikeshgade      377   0.0  1.5 412085056 122080   ??  Ss    5:31PM   0:01.63 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
root               376   0.0  0.1 426916896   5424   ??  Ss    5:31PM   0:03.23 /usr/sbin/cfprefsd daemon
root               375   0.0  0.2 426961408  16512   ??  Ss    5:31PM   0:01.69 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               373   0.0  0.0 426916384   1824   ??  Ss    5:31PM   0:00.14 /usr/libexec/logd_helper
root               318   0.0  0.0 426912656   3328   ??  Ss    5:31PM   0:00.02 /usr/libexec/IOMFB_bics_daemon
root               359   0.0  0.4 426965408  30176   ??  Ss    5:31PM   0:17.50 /usr/libexec/PerfPowerServices
root               312   0.0  0.2 426961360  19280   ??  Ss    5:31PM   0:00.57 /usr/sbin/systemstats --daemon
root               309   0.0  0.2 426965824  13632   ??  Ss    5:31PM   0:00.33 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root               338   0.0  0.2 426967856  20896   ??  Ss    5:31PM   0:00.83 /usr/libexec/coreduetd
root               352   0.0  0.1 426951168   7072   ??  Ss    5:31PM   0:00.16 /usr/libexec/nesessionmanager
root               364   0.0  0.1 426916592   5424   ??  Ss    5:31PM   0:00.29 /usr/libexec/usermanagerd -t 15
root               360   0.0  0.0 426912544    992   ??  Ss    5:31PM   0:00.06 /usr/libexec/dirhelper
root               346   0.0  0.1 426952048   9216   ??  Ss    5:31PM   0:01.74 /System/Library/CoreServices/launchservicesd
root               355   0.0  0.2 426956560  19888   ??  Ss    5:31PM   0:04.83 /usr/libexec/dasd
root               316   0.0  0.0 426912096   1392   ??  Ss    5:31PM   0:00.01 endpointsecurityd
root               371   0.0  0.3 426950288  21664   ??  Ss    5:31PM   0:00.15 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
root               305   0.0  0.0 426917392   3616   ??  Ss    5:31PM   0:00.04 /usr/libexec/smd
root               362   0.0  0.1 426951088   5616   ??  Ss    5:31PM   0:00.14 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root               372   0.0  0.0 426916384    528   ??  Ss    5:31PM   0:00.02 aslmanager
root               339   0.0  0.0 426917008   1616   ??  Ss    5:31PM   0:00.11 /usr/sbin/syslogd
root               332   0.0  0.3 426970656  25648   ??  Ss    5:31PM   0:09.29 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
root               328   0.0  0.0 426916784   3008   ??  Ss    5:31PM   0:00.14 /usr/libexec/watchdogd
root               308   0.0  0.1 426921808   5760   ??  Ss    5:31PM   0:05.67 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
root               315   0.0  0.2 426956016  14032   ??  Ss    5:31PM   0:01.64 /usr/libexec/configd
root               317   0.0  0.1 426952336  11552   ??  Ss    5:31PM   0:02.81 /System/Library/CoreServices/powerd.bundle/powerd
root               322   0.0  0.0 426950320   3136   ??  Ss+   5:31PM   0:00.03 /usr/libexec/remoted
root               324   0.0  0.1 426916240   4432   ??  Ss    5:31PM   0:00.02 /usr/libexec/keybagd -t 15
root               342   0.0  0.1 426949904   6256   ??  Ss    5:31PM   0:00.54 /usr/libexec/thermalmonitord
root               343   0.0  0.2 426956368  16608   ??  Ss    5:31PM   0:07.43 /usr/libexec/opendirectoryd
root               304   0.0  0.3 427052272  26816   ??  Ss    5:31PM   0:05.94 /usr/libexec/logd
root               367   0.0  0.0 426916336   3280   ??  Ss    5:31PM   0:02.23 /usr/sbin/notifyd
root               345   0.0  0.2 427030592  16576   ??  Ss    5:31PM   0:02.09 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root               368   0.0  0.0 426951488   3424   ??  Ss    5:31PM   0:00.04 /usr/libexec/sandboxd
root               370   0.0  0.1 426951136  10496   ??  Ss    5:31PM   0:00.20 /usr/libexec/AirPlayXPCHelper
root               366   0.0  0.2 426965040  19472   ??  Ss    5:31PM   0:01.08 /usr/sbin/bluetoothd
root               363   0.0  0.0 426912608   1344   ??  Ss    5:31PM   0:00.01 /usr/sbin/KernelEventAgent
root               358   0.0  0.0 426949984   3552   ??  Ss    5:31PM   0:00.03 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
root               354   0.0  0.0 426912592   2304   ??  Ss    5:31PM   0:00.02 autofsd
root               349   0.0  0.1 426951920   8272   ??  Ss    5:31PM   0:00.63 /usr/sbin/securityd -i
root               335   0.0  0.1 426950352   5968   ??  Ss    5:31PM   0:00.51 /usr/libexec/diskarbitrationd
root               334   0.0  0.1 426954352   5216   ??  Ss    5:31PM   0:00.80 /usr/libexec/kernelmanagerd
root               306   0.0  0.3 426959184  22416   ??  Ss    5:31PM   0:01.04 /usr/libexec/UserEventAgent (System)
root               361   0.0  0.1 426916208   5712   ??  Ss    5:31PM   0:00.05 /System/Library/CoreServices/logind
root               320   0.0  0.1 426950848   6800   ??  Ss    5:31PM   0:00.43 /usr/libexec/amfid
root              5383   0.0  0.0 410202096   1872 s004  R+    6:25PM   0:00.00 ps aux
root                 1   0.0  0.2 426853136  15648   ??  Ss    5:30PM   0:11.62 /sbin/launchd
rushikeshgade     5344   0.0  0.2 426967312  15120   ??  S     6:24PM   0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
rushikeshgade     4957   0.0  0.2 426951072  19856   ??  S     6:22PM   0:00.19 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
rushikeshgade     4956   0.0  1.0 1865412896  80256   ??  S     6:21PM   0:00.06 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=64 --time-ticks-at-unix-epoch=-1749988845043372 --launch-time-ticks=2519567155 --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=58
rushikeshgade     4589   0.0  2.7 1865553824 222576   ??  S     6:18PM   0:02.05 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=60 --time-ticks-at-unix-epoch=-1749988845043372 --launch-time-ticks=2335625131 --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=202
