USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_captiveagent     1900   0.0  0.1 426951632   6448   ??  Ss    5:31PM   0:00.11 /usr/libexec/captiveagent
rushikeshgade     1897   0.0  0.1 426926336  11840   ??  Ss    5:31PM   0:00.03 /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/Contents/MacOS/IFTelemetrySELFIngestor
rushikeshgade     1896   0.0  0.1 426959696  12272   ??  Ss    5:31PM   0:00.03 /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/Contents/MacOS/GMSSELFIngestor
rushikeshgade     1895   0.0  0.2 426926192  12592   ??  Ss    5:31PM   0:00.03 /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/Contents/MacOS/IFTranscriptSELFIngestor
rushikeshgade     1894   0.0  0.2 426926192  12768   ??  Ss    5:31PM   0:00.15 /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/Contents/MacOS/BiomeSELFIngestor
rushikeshgade     1893   0.0  0.1 426926704   7952   ??  Ss    5:31PM   0:00.15 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
rushikeshgade     1892   0.0  0.2 410796944  16784   ??  Ss    5:31PM   0:00.76 /System/Library/PrivateFrameworks/SiriAnalytics.framework/Versions/A/XPCServices/SAExtensionOrchestrator.xpc/Contents/MacOS/SAExtensionOrchestrator
rushikeshgade     1891   0.0  0.2 426960240  19952   ??  Ss    5:31PM   0:00.09 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension
rushikeshgade     1890   0.0  0.1 426961040  11568   ??  Ss    5:31PM   0:00.09 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariLinkExtension.appex/Contents/MacOS/SafariLinkExtension
rushikeshgade     1889   0.0  0.1 426961616  11632   ??  Ss    5:31PM   0:00.08 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension
rushikeshgade     1888   0.0  0.1 426926800   7552   ??  Ss    5:31PM   0:00.07 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
root              1887   0.0  0.1 426950240   4480   ??  Ss    5:31PM   0:00.16 /usr/libexec/triald_system
rushikeshgade     1886   0.0  0.1 410646928   4544   ??  Ss    5:31PM   0:00.03 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
rushikeshgade     1885   0.0  0.1 410630544   4544   ??  Ss    5:31PM   0:00.03 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
rushikeshgade     1884   0.0  0.0 410286288   2432   ??  Ss    5:31PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
rushikeshgade     1883   0.0  0.0 410295504   2432   ??  Ss    5:31PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
rushikeshgade     1882   0.0  0.2 410352992  13408   ??  Ss    5:31PM   0:00.05 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-IN")
rushikeshgade     1881   0.0  0.0 410285264   2432   ??  Ss    5:31PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
